Loft Studio in the Central Area	I am happy to welcome you to my apartment in the city center! Three words: location, cosy and chic!	2025-03-24T10:28:34.631Z	Cologne	preview-6.jpg	image-2.jpg;image-3.jpg;image-4.jpg;image-5.jpg;image-6.jpg	true	true	1.9	38724	Hotel	1	4	38724	Towels;Washer	Romald MacDonald	test@pisem.local	smite.jpg	12345	Pro	2	53.550341;10.000654
Apartment house in Chelyabinsk	Bad :(	2025-03-23T10:28:34.632Z	Cologne	preview-3.jpg	image-4.jpg;image-5.jpg;image-6.jpg	false	false	3.9	16291	Hotel	3	9	16291	Towels;Washer	Oleg Sidorovich	rolan@pochta.local	awesome-avatar.jpg	password123	User	3	48.85661;2.351499
Penthouse in Vasyuki	Bad carma!	2025-03-21T10:28:34.632Z	Brussels	preview-3.jpg	image-3.jpg;image-4.jpg;image-5.jpg	false	true	3.1	71106	Apartment	7	9	71106	Towels;Washer	Pier Bezuhov	fish@big.local	awesome-avatar.jpg	qwerty1234	User	3	51.225402;6.776314
Penthouse in Vasyuki	I am happy to welcome you to my apartment in the city center! Three words: location, cosy and chic!	2025-03-22T10:28:34.633Z	Amsterdam	preview-5.jpg	image-3.jpg;image-4.jpg;image-5.jpg	false	true	2.6	37063	House	8	2	37063	Air conditioning;Baby seat	Ivan Ivanovich	freedom@pisem.local	photo.jpg	@64343#323232$!123	Pro	1	52.370216;4.895168
Loft Studio in the Central Area	Cool!!!	2025-03-24T10:28:34.633Z	Paris	preview-5.jpg	image-5.jpg;image-6.jpg	true	true	2.5	74697	Hotel	2	5	74697	Breakfast;Fridge;Laptop friendly workspace;Towels	Stalone Balboa	fish@big.local	awesome-avatar.jpg	@64343#323232$!123	User	2	50.846557;4.351697
Apartment house in Chelyabinsk	Bad carma!	2025-03-22T10:28:34.633Z	Dusseldorf	preview-5.jpg	image-5.jpg;image-6.jpg	false	true	3.6	5948	Room	8	2	5948	Breakfast;Fridge;Laptop friendly workspace;Towels;Washer	Pier Bezuhov	freedom@pisem.local	roland.jpg	12345	Pro	3	50.938361;6.959974
Tent in Vladivostok	Cool!!!	2025-03-22T10:28:34.633Z	Amsterdam	preview-2.jpg	image-3.jpg;image-4.jpg;image-5.jpg	false	true	2.3	21558	House	5	8	21558	Baby seat;Breakfast;Fridge;Laptop friendly workspace;Towels	Jack Torrence	freedom@pisem.local	roland.jpg	password123	User	4	53.550341;10.000654
The Pondhouse - A Magical Place	Nice place to be!	2025-03-18T10:28:34.633Z	Amsterdam	preview-4.jpg	image-5.jpg;image-6.jpg	true	false	4.2	65848	Room	3	8	65848	Laptop friendly workspace;Towels;Washer	Pier Bezuhov	test@lost.loca	coffee.jpg	@64343#323232$!123	Pro	3	50.938361;6.959974
Penthouse in Vasyuki	This is a place for dreamers to reset, reflect, and create.	2025-03-19T10:28:34.633Z	Cologne	preview-4.jpg	image-4.jpg;image-5.jpg;image-6.jpg	true	false	4.9	17900	Hotel	2	2	17900	Breakfast;Fridge;Laptop friendly workspace	Jack Torrence	author@mir.local	user.jpg	098765	Pro	4	52.370216;4.895168
Polye Chudezzz	Nice place to be!	2025-03-18T10:28:34.633Z	Paris	preview-5.jpg	image-4.jpg;image-5.jpg;image-6.jpg	true	true	3.2	22141	Apartment	6	5	22141	Baby seat	Boris Britva	president@dka.local	awesome-avatar.jpg	abcde	User	5	48.85661;2.351499
Hatka Bobra	So slow but too fast and too furious!	2025-03-22T10:28:34.633Z	Brussels	preview-1.jpg	image-1.jpg;image-2.jpg	false	true	2.9	82812	Room	7	9	82812	Towels;Washer	Pier Bezuhov	author@mir.local	user.jpg	abcde	User	4	50.938361;6.959974
Polye Chudezzz	Nice place to be!	2025-03-19T10:28:34.633Z	Amsterdam	preview-3.jpg	image-4.jpg;image-5.jpg;image-6.jpg	true	true	4.7	19671	Room	7	4	19671	Laptop friendly workspace;Towels;Washer	Fnton Horodecky	president@dka.local	roland.jpg	qwerty1234	Pro	2	51.225402;6.776314
Apartment house in Chelyabinsk	Cool!!!	2025-03-19T10:28:34.633Z	Brussels	preview-3.jpg	image-4.jpg;image-5.jpg;image-6.jpg	true	false	1.1	41059	Room	5	9	41059	Washer	Fnton Horodecky	test@pisem.local	awesome-avatar.jpg	qwerty1234	User	4	53.550341;10.000654
Apartment house in Chelyabinsk	Cool!!!	2025-03-20T10:28:34.633Z	Amsterdam	preview-1.jpg	image-2.jpg;image-3.jpg	false	false	3.6	24953	Room	6	3	24953	Towels;Washer	Romald MacDonald	president@dka.local	photo.jpg	qwerty1234	Pro	4	50.846557;4.351697
Penthouse in Vasyuki	So slow but too fast and too furious!	2025-03-19T10:28:34.633Z	Hamburg	preview-2.jpg	image-2.jpg;image-3.jpg;image-4.jpg	false	true	4.7	76169	Hotel	2	5	76169	Air conditioning;Baby seat;Breakfast;Fridge;Laptop friendly workspace;Towels	Holly Bin	author@mir.local	smite.jpg	qwerty1234	User	3	52.370216;4.895168
Hatka Bobra	Bad :(	2025-03-21T10:28:34.633Z	Cologne	preview-4.jpg	image-5.jpg;image-6.jpg	false	false	2.7	88807	Room	6	5	88807	Towels;Washer	Pier Bezuhov	test@pisem.local	user.jpg	098765	User	4	50.938361;6.959974
Hatka Bobra	Nice place to be!	2025-03-21T10:28:34.633Z	Paris	preview-5.jpg	image-4.jpg;image-5.jpg;image-6.jpg	false	true	2.4	98401	Hotel	5	1	98401	Fridge;Laptop friendly workspace;Towels	Romald MacDonald	snow@pisem.local	photo.jpg	qwerty	User	5	52.370216;4.895168
